id,PSS_01_RAW,PSS_02_RAW,PSS_03_RAW,PSS_04_RAW,PSS_05_RAW,PSS_06_RAW,PSS_07_RAW,PSS_08_RAW,PSS_09_RAW,PSS_10_RAW,PSS_11_RAW,PSS_12_RAW,PSS_13_RAW,PSS_14_RAW,PSS_01_DIR,PSS_02_DIR,PSS_03_DIR,PSS_04_DIR,PSS_05_DIR,PSS_06_DIR,PSS_07_DIR,PSS_08_DIR,PSS_09_DIR,PSS_10_DIR,PSS_11_DIR,PSS_12_DIR,PSS_13_DIR,PSS_14_DIR,PSS_RAW_NA,PSS_DIR_NA,PSS_DIRt
948867510,Casi nunca,Casi nunca,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,A menudo,De vez en cuando,Casi nunca,1,1,3,1,2,1,2,2,1,2,1,3,2,1,0,0,23
949119297,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,De vez en cuando,Nunca,A menudo,Muy a menudo,A menudo,Muy a menudo,4,3,4,2,3,2,2,4,2,4,3,4,1,4,0,0,42
950123866,Casi nunca,Nunca,Nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,Nunca,A menudo,A menudo,Casi nunca,Casi nunca,A menudo,Nunca,1,0,0,2,1,2,1,0,1,1,1,1,1,0,0,0,12
950198642,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,Nunca,Muy a menudo,4,2,4,1,1,2,0,3,0,2,3,2,4,4,0,0,32
950884729,De vez en cuando,Nunca,De vez en cuando,Muy a menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,Muy a menudo,Casi nunca,Casi nunca,Muy a menudo,A menudo,Casi nunca,2,0,2,0,0,1,1,2,0,3,1,4,1,1,0,0,18
951112410,Casi nunca,Nunca,Casi nunca,A menudo,Muy a menudo,A menudo,Muy a menudo,Nunca,Muy a menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Nunca,1,0,1,1,0,1,0,0,0,1,1,3,2,0,0,0,11
951328633,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,2,2,3,0,0,0,0,2,0,1,1,4,0,1,0,0,16
952042912,A menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,3,3,4,1,2,2,2,1,3,2,2,2,2,3,0,0,32
953003813,De vez en cuando,De vez en cuando,Muy a menudo,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,A menudo,Casi nunca,2,2,4,2,3,0,0,3,1,2,4,2,1,1,0,0,27
953293006,De vez en cuando,Nunca,A menudo,A menudo,A menudo,Muy a menudo,A menudo,Casi nunca,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,2,0,3,1,1,0,1,1,0,1,2,4,1,2,0,0,19
953337349,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,A menudo,Casi nunca,2,1,2,1,2,1,1,1,1,2,1,2,1,1,0,0,19
953708161,De vez en cuando,Nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,Muy a menudo,A menudo,Nunca,Muy a menudo,Nunca,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6
953907498,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,Casi nunca,A menudo,Muy a menudo,Casi nunca,Muy a menudo,2,2,4,1,1,2,2,4,1,3,3,4,3,4,0,0,36
954003982,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,Nunca,Casi nunca,A menudo,De vez en cuando,Casi nunca,2,2,2,2,1,1,2,2,1,4,1,3,2,1,0,0,26
954023728,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,De vez en cuando,1,1,2,1,1,1,1,2,2,3,2,3,1,2,0,0,23
954073071,De vez en cuando,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Nunca,A menudo,De vez en cuando,Nunca,2,0,3,1,1,1,1,1,1,1,0,3,2,0,0,0,17
954112980,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,2,2,2,1,1,0,0,2,0,0,2,4,0,2,0,0,18
954117943,A menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,Muy a menudo,Casi nunca,3,2,4,1,1,2,1,2,1,1,2,3,0,1,0,0,24
954118466,A menudo,Casi nunca,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,3,1,2,1,0,0,0,2,1,3,2,2,3,1,0,0,21
954219968,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,De vez en cuando,A menudo,Casi nunca,A menudo,2,2,3,2,2,2,2,3,2,3,2,3,3,3,0,0,34
954238473,Casi nunca,Casi nunca,A menudo,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Casi nunca,A menudo,De vez en cuando,1,1,3,2,1,0,2,2,1,2,1,1,1,2,0,0,20
956354886,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,Nunca,A menudo,Muy a menudo,Casi nunca,Muy a menudo,4,4,4,3,2,3,0,4,3,4,3,4,3,4,0,0,45
956694633,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Casi nunca,A menudo,A menudo,Nunca,A menudo,De vez en cuando,Casi nunca,2,1,3,0,0,0,1,1,1,1,0,3,2,1,0,0,16
956894391,De vez en cuando,Muy a menudo,Casi nunca,Casi nunca,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,2,4,1,3,3,1,2,1,2,2,2,3,2,1,0,0,29
957396862,Casi nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,1,0,2,2,2,1,1,2,1,3,2,2,3,1,0,0,23
957640409,Casi nunca,Nunca,A menudo,A menudo,A menudo,De vez en cuando,Muy a menudo,Casi nunca,A menudo,Casi nunca,Nunca,A menudo,De vez en cuando,Nunca,1,0,3,1,1,2,0,1,1,3,0,3,2,0,0,0,18
957732384,A menudo,A menudo,Muy a menudo,De vez en cuando,Casi nunca,De vez en cuando,Nunca,A menudo,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,3,3,4,2,3,2,4,3,3,3,3,3,1,4,0,0,41
957895469,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,A menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,Nunca,De vez en cuando,De vez en cuando,Casi nunca,2,1,3,1,1,1,0,1,1,2,0,2,2,1,0,0,18
958188977,De vez en cuando,A menudo,Muy a menudo,A menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,A menudo,Nunca,Nunca,A menudo,A menudo,De vez en cuando,2,3,4,1,0,3,1,2,1,4,0,3,1,2,0,0,27
958280081,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,29
958529246,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Nunca,De vez en cuando,De vez en cuando,Nunca,Muy a menudo,Nunca,Muy a menudo,4,4,4,2,2,2,3,0,2,2,0,4,4,4,0,0,37
958597136,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Casi nunca,Casi nunca,De vez en cuando,Muy a menudo,Casi nunca,Nunca,Nunca,A menudo,De vez en cuando,Muy a menudo,4,4,4,3,3,3,2,4,3,4,0,3,2,4,0,0,43
958633132,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,Casi nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,2,1,2,0,1,2,1,2,1,3,0,2,2,2,0,0,21
958931553,Casi nunca,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,Casi nunca,Casi nunca,1,3,4,0,2,2,2,2,1,2,1,4,3,1,0,0,28
959007353,A menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,3,3,4,1,2,2,2,4,2,2,3,3,2,3,0,0,36
959582656,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,A menudo,Nunca,Casi nunca,Casi nunca,A menudo,Casi nunca,1,1,2,2,3,1,1,1,1,4,1,1,1,1,0,0,21
959735020,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,2,2,3,2,2,2,2,3,2,2,4,4,0,2,0,0,32
959890664,A menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,Casi nunca,3,2,3,1,1,1,2,2,1,2,4,4,2,1,0,0,29
961066479,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,4,4,4,3,3,3,3,1,3,3,1,2,2,3,0,0,39
961367628,A menudo,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,De vez en cuando,3,3,4,2,0,1,1,1,1,2,4,4,3,2,0,0,31
961399368,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,2,3,3,2,2,1,1,2,2,2,2,2,1,1,0,0,26
961556598,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,Casi nunca,1,1,2,2,1,1,1,3,2,2,2,4,1,1,0,0,24
961857682,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,2,2,2,2,1,2,1,2,2,2,2,4,1,2,0,0,27
962091361,Casi nunca,Casi nunca,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Nunca,1,1,3,0,0,0,0,1,0,0,3,4,0,0,0,0,13
962199318,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,3,4,4,2,2,1,2,2,1,3,3,2,2,3,0,0,34
962251989,De vez en cuando,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,Muy a menudo,Casi nunca,Casi nunca,2,1,1,1,1,1,1,1,1,2,1,4,3,1,0,0,21
962353559,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Casi nunca,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Nunca,2,1,3,0,0,0,1,1,0,2,2,3,2,0,0,0,17
962685946,A menudo,A menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,3,3,4,1,1,2,2,3,2,3,2,2,1,3,0,0,32
963014846,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,2,2,2,0,0,0,2,3,0,0,4,3,0,2,0,0,20
963066829,Nunca,Nunca,Casi nunca,Muy a menudo,Muy a menudo,A menudo,A menudo,Nunca,Muy a menudo,A menudo,Casi nunca,Casi nunca,Muy a menudo,Nunca,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,6
963108434,A menudo,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,A menudo,De vez en cuando,A menudo,Muy a menudo,A menudo,Casi nunca,3,1,3,1,1,2,2,1,1,2,3,4,1,1,0,0,26
963189418,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,3,2,4,2,2,0,1,2,2,2,4,4,2,2,0,0,32
963264611,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,2,2,3,1,1,1,2,3,2,2,2,2,1,3,0,0,27
963337862,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,A menudo,Casi nunca,1,2,2,2,1,1,1,3,1,3,2,3,1,1,0,0,24
963733527,De vez en cuando,Casi nunca,De vez en cuando,A menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,1,2,1,0,1,1,2,1,1,2,3,2,2,0,0,21
964310185,A menudo,A menudo,Muy a menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,Nunca,Muy a menudo,De vez en cuando,Casi nunca,3,3,4,1,1,1,1,3,1,2,0,4,2,1,0,0,27
964496134,De vez en cuando,A menudo,Muy a menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,A menudo,Casi nunca,Muy a menudo,Casi nunca,Casi nunca,2,3,4,1,1,1,3,3,1,1,1,4,3,1,0,0,29
964979193,Casi nunca,Nunca,Nunca,A menudo,A menudo,A menudo,A menudo,Casi nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,Nunca,1,0,0,1,1,1,1,1,2,2,3,2,1,0,0,0,16
965155738,De vez en cuando,A menudo,Muy a menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,2,3,4,1,2,2,2,2,2,2,3,4,0,2,0,0,31
965289303,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,Casi nunca,Casi nunca,A menudo,De vez en cuando,Casi nunca,Casi nunca,Muy a menudo,De vez en cuando,A menudo,2,4,4,2,1,3,3,3,2,3,1,4,2,3,0,0,37
965315469,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,1,1,2,2,2,0,0,2,1,2,4,4,0,2,0,0,23
965472365,A menudo,Casi nunca,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,Muy a menudo,De vez en cuando,A menudo,3,1,4,2,1,2,2,2,2,3,3,4,2,3,0,0,34
965637951,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,2,1,2,0,0,0,0,1,0,2,1,4,2,1,0,0,16
965706196,Nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,De vez en cuando,0,1,3,1,1,1,1,3,1,1,1,2,1,2,0,0,19
965733370,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Muy a menudo,Casi nunca,Nunca,De vez en cuando,A menudo,Casi nunca,Muy a menudo,2,4,4,3,3,3,3,4,3,4,2,3,3,4,0,0,45
965775003,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,Casi nunca,Casi nunca,A menudo,Casi nunca,De vez en cuando,4,3,4,2,2,1,1,3,2,3,1,3,3,2,0,0,34
965951483,Casi nunca,Casi nunca,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Casi nunca,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Casi nunca,1,1,2,0,0,0,1,1,0,1,2,3,2,1,0,0,15
966060611,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,Casi nunca,2,1,2,2,1,1,1,1,1,2,2,3,0,1,0,0,20
966171814,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,A menudo,A menudo,Muy a menudo,Casi nunca,2,2,2,1,1,1,1,1,1,2,3,3,0,1,0,0,21
966192709,Nunca,Nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,A menudo,Casi nunca,Casi nunca,0,0,2,1,1,1,1,1,1,1,1,3,3,1,0,0,17
966249306,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,De vez en cuando,A menudo,A menudo,A menudo,Muy a menudo,2,2,2,0,0,1,0,2,0,2,3,3,1,4,0,0,22
966386225,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,2,3,4,2,2,2,1,3,2,2,3,4,2,2,0,0,34
966532619,De vez en cuando,Casi nunca,A menudo,De vez en cuando,A menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,2,1,3,2,1,1,0,2,1,2,2,1,3,1,0,0,22
966611630,Casi nunca,Nunca,Nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Casi nunca,Muy a menudo,De vez en cuando,Nunca,1,0,0,0,0,0,0,4,0,1,1,4,2,0,0,0,13
966667779,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,2,1,2,2,1,1,1,2,1,1,2,3,0,2,0,0,21
966684403,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,4,4,4,0,1,1,1,2,2,3,3,4,2,2,0,0,33
966721610,De vez en cuando,Casi nunca,Casi nunca,A menudo,Muy a menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,De vez en cuando,Muy a menudo,Nunca,2,1,1,1,0,1,1,1,1,1,1,2,0,0,0,0,13
966786111,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Nunca,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,Casi nunca,1,1,2,1,1,1,1,0,1,1,1,2,1,1,0,0,15
966885479,Nunca,De vez en cuando,Nunca,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,0,2,0,1,1,1,1,2,1,1,2,1,2,2,0,0,17
966999580,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Casi nunca,2,1,2,1,1,1,1,1,1,2,1,3,0,1,0,0,18
967283891,Nunca,Nunca,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,A menudo,A menudo,Nunca,A menudo,De vez en cuando,0,0,3,0,0,0,0,0,0,1,3,0,1,2,0,0,10
967665449,Casi nunca,Casi nunca,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,A menudo,A menudo,1,1,4,1,1,1,2,3,2,1,4,4,1,3,0,0,29
967766396,De vez en cuando,De vez en cuando,A menudo,A menudo,Muy a menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Casi nunca,2,2,3,1,0,0,1,2,0,1,2,3,2,1,0,0,20
968051734,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,2,1,3,0,0,0,0,2,0,1,3,4,0,2,0,0,18
968119664,A menudo,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Nunca,Casi nunca,Muy a menudo,A menudo,De vez en cuando,3,3,2,1,1,2,2,3,1,4,1,4,1,2,0,0,30
968421188,De vez en cuando,A menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,Casi nunca,De vez en cuando,A menudo,Casi nunca,A menudo,A menudo,De vez en cuando,De vez en cuando,2,3,4,1,1,2,3,2,1,3,3,3,2,2,0,0,32
968459984,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,1,2,3,2,1,0,0,2,1,1,3,1,1,2,0,0,20
969199723,Nunca,Nunca,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,0,0,2,1,2,0,0,1,0,2,1,2,2,1,0,0,14
96a68p4kqg,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,Nunca,A menudo,4,4,4,2,1,2,2,3,2,3,4,4,4,3,0,0,42
96beuwymn8,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,Casi nunca,A menudo,De vez en cuando,Muy a menudo,2,2,3,2,1,0,2,4,0,2,1,3,2,4,0,0,28
96f2f0fpol,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,A menudo,De vez en cuando,Casi nunca,A menudo,De vez en cuando,Casi nunca,Muy a menudo,A menudo,Casi nunca,2,1,3,1,1,1,2,1,1,2,1,4,1,1,0,0,22
971085234,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,A menudo,Casi nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,1,3,3,1,2,2,1,1,1,3,1,1,4,1,0,0,25
971085541,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,3,2,2,2,2,2,2,2,1,2,2,3,2,3,0,0,30
971369288,Muy a menudo,De vez en cuando,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,4,2,4,2,2,2,2,2,2,2,2,2,2,2,0,0,32
971448209,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,Muy a menudo,A menudo,De vez en cuando,1,2,3,1,1,2,1,3,1,3,3,4,1,2,0,0,28
972089420,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,2,2,1,1,1,1,2,2,3,2,1,2,1,2,0,0,23
972116430,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Muy a menudo,De vez en cuando,De vez en cuando,4,3,4,2,1,2,2,2,2,2,1,4,2,2,0,0,33
972461403,Casi nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,Casi nunca,1,0,2,2,2,1,1,2,3,2,2,3,1,1,0,0,23
972739967,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,2,3,4,2,2,1,1,2,2,2,3,4,2,2,0,0,32
972797829,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,2,2,2,3,2,2,2,2,2,3,3,2,2,3,0,0,32
972833496,A menudo,A menudo,A menudo,Casi nunca,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,3,3,3,3,3,3,2,2,2,3,2,3,2,3,0,0,37
972952734,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Casi nunca,2,2,4,1,1,1,1,1,1,1,2,3,2,1,0,0,23
