id,AIM_TramoIngreso_DIRd,AIM_DIRt,EAR_DIRt,PSS_DIRt,SASS_DIRt,SCSORF_DIRt
f70b74o5qq,5,c1a,25,34,38,17
f86g2rzrny,7,ab,36,11,36,22
fnah07zxbq,5,c1b,28,32,28,26
fpvynjpsqe,2,d,29,16,46,25
fq2ols8cwv,4,c2,35,24,42,26
fwwkhzkstn,7,ab,37,20,55,38
fzyjyrcsn3,99,NA,NA,NA,NA,23
g0wo5ajk5b,7,ab,28,41,45,25
g3njbgdykw,2,d,25,21,45,10
g3zkwp7n73,5,c1a,37,20,52,39
g45o6flj2s,5,c1a,28,33,40,10
g4xnor0yas,99,NA,18,38,27,10
g6spcaf8wv,7,ab,32,16,40,20
g6vjnw73tw,4,c2,26,33,32,19
g7euw58mwh,7,ab,31,34,52,10
g7qgwwfohy,7,ab,34,36,42,33
g97h909eep,4,c2,34,18,43,29
gdmlxo21sk,6,c1a,35,11,48,25
gg2g2qke5j,7,ab,31,NA,50,27
ggp4ezx3g0,6,c1a,35,18,47,22
gh6jxgnaq3,5,c1a,30,24,42,12
gh8km2pc07,6,c1a,33,32,36,19
gjj972bkls,6,c1a,32,27,49,21
glzbfqbqtn,4,c2,33,16,43,25
go1w3x3ckw,7,ab,39,5,43,11
gon98vvtlj,7,ab,36,13,53,18
goxpkns1mn,5,c1a,37,NA,NA,18
gq3bavn9lt,99,NA,22,30,41,30
gstpq0j9fp,5,c1b,24,23,32,18
gwzsrez709,4,c1b,33,25,40,15
h356uxob91,2,c3,27,27,47,10
h3nddtuq7n,6,c1b,36,17,54,26
h5t9ttlzsb,0,NA,34,17,47,31
h66jzl1e80,3,c2,40,24,49,21
h6r71xnpgv,6,c2,31,26,38,20
hbzgwsfe8h,7,c1b,33,25,48,22
hcc6rl7pfp,5,c1a,38,14,44,24
hgur8r57qs,5,c1b,36,9,47,29
hht5uln9mu,3,c3,27,35,46,26
hmorz3fnd5,7,ab,34,29,44,27
hqdkmvcz8x,3,c2,35,8,51,40
hvgj834ofc,7,ab,28,15,45,28
hypyj0h9ky,7,ab,39,19,49,40
j1pslvrorj,5,c1a,25,34,36,28
j4jc1mpps7,6,c1a,32,35,49,14
j5391kkbac,4,c3,28,27,46,23
ja6s8ek1ss,6,c1a,24,41,34,21
jbke8qkcps,7,c1a,27,13,45,10
jbt2scrp04,7,ab,35,23,47,10
jceynjqt1y,6,c1a,29,36,41,13
jekpuvsstf,6,c1b,23,34,36,22
jjvc0lzsoa,7,ab,31,28,42,23
jklmf61npr,7,ab,32,27,47,24
jlbrb5z1bz,99,NA,30,25,43,20
jlx8csp50h,7,ab,30,24,49,33
jq4uuryace,4,c1b,20,36,30,11
jqgx1pthva,4,c3,32,14,45,19
jsohwct8pd,5,c1a,33,12,49,19
juhrforjxa,6,c1a,NA,NA,NA,NA
jujo2j7qdq,3,c2,31,36,36,23
jvbwzn1ws5,7,ab,28,32,38,19
jvjgudxhbt,6,c1a,34,20,42,31
jx11xr4gfe,7,ab,30,39,44,10
jxns6xoyrr,3,c3,24,32,43,23
jz5v45mpgx,7,ab,13,33,35,22
jzkwaukee4,6,c1a,30,24,43,19
k1ujjudcll,4,c1b,37,11,41,10
k5yjd8m8mg,5,c1a,35,NA,NA,10
k698f4t70e,5,c1b,32,26,44,13
k6un21dbwh,6,c1a,34,21,54,25
kanldppa7d,6,c1a,39,25,37,34
kcsh0wslhh,6,c1a,40,28,51,31
ke3vsomxvx,1,e,31,31,45,35
kf83tsolhg,7,ab,29,16,43,11
kgdmbfxrj3,5,c1a,38,17,46,25
khfjob7g3e,99,NA,32,35,34,18
klsoqn6jt1,5,c1a,38,29,48,18
knpc9b6wop,7,ab,32,24,37,26
kp3vewmrcd,4,c2,33,21,41,37
kpxwk6062v,6,c1a,39,27,43,24
ku3zt5hk4c,5,c1b,35,21,44,27
kuu54ys9q6,7,ab,NA,NA,NA,10
kvatpcvwxf,6,c1a,28,33,34,26
kxnnph07g9,7,ab,20,22,42,19
kzl1y67ba2,4,c2,29,29,41,29
kznlgmq81a,6,c1a,30,45,48,35
l2mfqvnn1o,5,c1a,29,28,47,24
l2n6ydaprt,3,c3,37,27,40,26
l34jj0fb4b,5,c1a,29,26,36,12
l3g9mea31c,5,c2,26,27,42,33
l3nn6qnrwm,5,c1b,19,26,36,33
l51d3w6vz8,4,c1b,23,31,41,10
l6db8zyra3,6,c1a,23,29,40,38
l9000wagj5,3,c2,26,32,46,37
l9f14qqe3r,4,c2,27,39,40,34
labhye3w0t,5,c1b,27,25,32,25
larhjxqcj9,7,ab,25,24,38,11
leb8yvrz39,3,c2,NA,NA,NA,NA
lekzcwvj4k,5,c2,30,38,40,22
ljwmeoj20t,4,c2,32,30,51,15
lk413xaxgg,7,ab,39,13,40,10
lk6fvdhr1c,5,c1a,31,26,31,25
llgj095pu7,6,c1a,37,21,37,25
lm4z7legcn,6,c1a,31,26,48,10
lol45haopn,3,d,22,30,36,35
lortfmjfk7,5,c1a,35,23,44,10
lpj9orydr1,7,ab,28,24,49,34
lu1dv4leyk,2,c3,31,21,41,13
lvvpxnxlys,4,c3,35,19,47,26
lxctvu1c02,6,c1a,26,27,39,10
lxsndxatt7,7,ab,33,9,46,20
ly9bxj6cdt,6,c1a,32,32,41,19
lyxjz8zf1d,5,c1a,30,16,45,28
lzkddv9ygz,7,ab,33,18,45,13
m0l112jluu,6,c1a,29,27,47,34
m2rwlv1o7r,3,c2,19,40,26,10
m3nvb0mdk2,5,c1b,25,37,35,25
m3t362fswf,6,c1a,26,40,27,20
m5sf2qf1vp,4,c2,29,31,40,10
m80x4dsr8z,7,ab,25,NA,30,19
m8aj1q7u7z,99,NA,32,25,38,19
mdqed1fdwk,7,ab,29,14,48,27
meban1falw,6,c1b,37,33,46,25
mg6sctr2dz,5,c1a,36,16,52,10
mh5lcu5d2w,6,c1b,32,17,40,22
mhc9yg2psp,7,ab,34,21,46,21
mhqqyow3sc,7,ab,33,18,50,13
mhzb4pp3nu,99,NA,29,32,39,38
mjw4v5xpq3,4,c2,34,31,50,10
mklnzbczej,7,c1a,32,NA,47,28
mlxr5d1d2y,6,c1a,23,27,37,20
mmlgc56fpd,7,c1a,39,12,51,10
mnenahu3bb,7,ab,15,47,24,10
mnop0qhmnb,6,c1a,28,15,57,10
mpw7pg3rjp,4,c1b,29,24,44,37
mpyxopo3fs,7,ab,30,20,47,22
mr175jw51m,6,c1a,27,22,42,16
mr3jc4fv92,4,c2,29,33,36,20
mur2ekfn27,4,c2,22,43,27,20
mw2agk46s6,4,c1b,18,50,31,14
mxszqdfg90,4,c2,28,22,43,23
n0s6km3dmv,5,c1a,34,30,42,16
n1wflyf6fy,5,c1a,34,10,51,19
n39d5quo08,5,c1a,34,34,49,16
n44bvj1cuw,6,c1a,26,28,41,10
n4magox9t5,99,NA,32,26,36,10
n8dyyeo9kq,6,c1a,37,22,49,10
n9bu8pu6vr,6,c2,28,16,38,20
ndrc3vk9xg,5,c1a,32,23,52,28
ngvv3bmtvu,5,c1a,33,23,50,36
nhkg5hcu0d,6,c1a,33,29,52,21
nlg5kmqtj8,7,ab,40,16,53,26
nmj6tdn5vm,6,c1a,NA,NA,NA,NA
nof7q5pmem,6,c1a,40,13,52,10
nqlwg64fjr,5,c1a,32,16,49,13
nqtb2q6wuf,5,c1a,29,37,39,18
nt4t64c5uv,5,c1a,23,35,37,18
nurgsbbnrs,2,c3,26,15,34,25
nwfhqlao59,7,ab,30,32,43,20
nx2slsz5aw,6,c1a,37,12,42,27
nxua3b6twm,6,c1a,23,42,43,11
o1b3p1y713,6,c1a,24,NA,36,31
o1xz6y2e60,99,NA,40,16,47,26
o4l82t8gwv,7,ab,31,37,35,10
o6oggeupn3,6,c1a,31,15,49,16
o7468ua00b,7,ab,NA,NA,NA,NA
o7pave8pbt,4,c3,35,NA,NA,19
o9zq3vjjf2,7,c1a,28,25,39,23
oc5qjk883o,7,ab,21,29,41,16
od6ez66mns,6,c1b,21,NA,32,23
odkg94goc9,4,c1b,32,26,42,14
oeyhopaj75,7,ab,28,27,45,27
of2z3m0trq,7,ab,35,16,51,28
oflr6gjy7l,7,c1b,30,23,47,23
ogcv9b59qw,7,ab,NA,NA,NA,NA
ogmj7nt418,3,c3,37,32,28,11
ogmsnzf5e5,1,e,37,17,52,28
optntelnb5,6,c1b,39,16,49,23
oq63tqez88,6,c1a,31,11,41,15
orowpd2yl1,5,c1a,29,22,34,15
otb1zejyn3,5,c1a,37,27,45,10
otcyq39fbn,5,c1a,36,15,42,13
otgykgucjf,6,c1a,28,29,42,27
oupg9g46b3,7,ab,26,34,45,32
owunzht4ma,7,ab,NA,NA,NA,NA
oytuzc7jun,7,ab,35,30,42,10
oyxpy1zsk4,4,c2,36,30,40,20
ozu3042edl,6,c1a,34,19,36,38
ozwlc7lj7j,99,NA,39,24,39,25
p0j77kykc6,6,c1a,37,6,56,29
p0ntox2kfz,3,d,25,32,36,22
p34w1g4j4m,7,ab,37,15,51,38
p4d9rzst36,7,ab,35,NA,41,14
p7pupmpudy,7,ab,25,30,42,21
pdqpf05nec,6,c1a,29,18,50,29
phzlh4gty2,5,c1b,37,21,47,14
pjvz78owdw,6,c1a,33,8,52,30
pkbe11rjog,7,ab,33,18,41,10
plyx38nxw7,5,c1a,36,12,46,19
pmo8u4alc4,5,c1a,31,38,41,27
pmpffxm0sc,5,c1a,39,20,42,10
pojq291h5y,7,ab,33,13,49,22
pomrsmdotb,5,c2,33,34,39,11
pp9bkqh6jm,5,c1a,24,30,40,33
pq93l7pkjk,6,c1a,30,NA,43,11
ps5v7d1za8,4,c1b,36,19,41,30
pso9smx1dp,6,c1a,31,27,46,36
pu3xsmv12p,7,ab,28,24,50,10
pxezr1rw2z,6,c1a,27,24,39,10
q4wwdaxh2s,6,c1b,22,34,45,36
q5lgt17z4q,4,c1b,33,19,48,40
q6q98djvtg,5,c1a,NA,NA,NA,NA
q8fvjud15r,7,ab,NA,NA,NA,NA
q9c6myudy2,1,c3,NA,NA,NA,NA
q9vmxsgcth,6,c1b,37,12,46,10
qcfbpas232,5,c2,22,31,34,29
qfmer5ht5t,6,c1a,27,17,42,11
qgjmxt0hhp,5,c1b,40,12,46,10
qkok6glvgc,4,c1b,35,16,46,10
qmqmh78sdu,99,NA,29,16,49,28
qn533zmhmy,6,c1a,33,14,48,18
qnepwz416k,4,c3,13,42,19,17
qt2l3rf6ya,1,d,24,34,38,37
qvgf7z63yl,5,c1a,28,29,46,11
qxcbz4nyud,7,ab,37,16,52,11
qxd457jzbp,5,c1a,33,15,50,10
r04udmm7h6,3,c3,35,27,44,10
r3e64ctq7s,5,c1a,29,31,36,33
r4138fqfmu,5,c1b,27,33,44,14
r49xy3q4gp,5,c2,26,39,32,11
r5cg72k7f7,6,c1a,34,23,50,10
r5p7zvjjhe,6,c1a,38,10,49,23
r6mw5huosf,6,c1a,27,14,44,28
rbk3lot946,4,c1b,37,21,33,17
rcyhfpy4bm,7,ab,33,37,40,21
rdypfgsrnq,7,ab,37,15,46,33
rf8vq8dcx7,5,c1b,39,19,52,26
rm671yl6z2,6,c1b,26,27,42,10
rod5uc43mx,6,c1a,28,39,43,26
rp0tac4lj0,3,c2,26,31,32,17
rp8sjbjwn1,6,c1a,24,NA,46,13
rsagyl1j80,7,ab,33,18,54,24
rsygknl1km,5,c1a,36,18,52,38
rszk705nu1,7,c1b,28,31,45,16
rx8symp8b6,99,NA,28,NA,NA,24
ry7judd7dn,7,ab,30,NA,40,27
s0dvf0a8ug,5,c1a,23,42,40,18
s0zrg64bdp,4,c1b,25,34,31,17
s1b9hjc977,7,ab,38,14,47,10
s6od0gq5lw,99,NA,36,9,55,25
s6tcbnm1e0,6,c1a,40,14,49,18
sdpldeb57z,6,c1a,31,24,47,11
shfwmbf211,7,ab,39,NA,NA,36
smu7jxvhmq,6,c1a,37,19,36,25
smvu5ob2x4,4,c2,25,30,33,10
sn5aay4skh,6,c1a,25,34,31,18
so2mzux3tm,7,ab,40,14,50,10
sx9zzqmtaf,6,c1a,37,15,50,10
t23wn3dlqx,0,NA,24,28,48,13
t284qlcrh8,5,c1a,35,20,51,27
t7uu2j69hk,5,c1a,33,NA,NA,23
tb6wa3axbr,7,ab,37,22,43,10
tbt9v10zn4,7,ab,32,27,50,29
tdbr76szdw,7,ab,35,22,46,10
tezgnge7d9,5,c1b,35,22,38,18
tfz68xovz9,5,c1b,NA,NA,NA,13
tgphyfmano,6,c1a,30,5,38,18
thqlnf89hf,3,c3,40,22,38,10
tjxg9olj81,5,c1a,39,36,45,18
tk5mbkmnlc,6,c1a,NA,NA,NA,22
tnc7delb7j,1,c3,NA,NA,NA,40
tph454zx7v,6,c1a,29,26,38,32
ts5500ukas,7,ab,35,25,48,14
tuedggtfqh,6,c1a,26,35,39,14
twbme7t334,5,c1a,33,23,44,16
tyt6kuf68o,4,c2,31,39,36,12
tzg6h2znsv,2,c3,29,20,53,22
u7a2wqv8sj,6,c1a,20,49,37,10
u7q14tfj7f,4,c2,25,20,32,11
u9vh45115c,6,c1a,28,23,40,10
ue9cj4ayvb,5,c1a,31,31,50,10
uf2u8hr3xk,2,c3,26,32,42,20
uf3rs42tcf,4,c1b,30,NA,39,38
ufuez9ccdf,5,c2,25,28,35,22
ul2r0skf12,6,c1a,24,27,35,24
up15znf7uz,6,c1a,NA,NA,NA,NA
urnj311mlc,6,c1a,35,18,52,19
ut63zod9nc,7,ab,28,31,40,11
uu3tf3375q,6,c1a,31,21,49,16
ux8omw7pr8,99,NA,25,29,36,28
uztubvuos4,6,c1a,28,17,49,24
v0t2socx5m,2,c3,30,18,54,29
v239h433uo,3,c3,29,28,35,10
v2uald4p4j,6,c1a,27,26,37,21
v36zj2nv36,6,c1a,38,31,43,10
v49cgbtvnv,5,c1a,34,13,52,10
v4cc9ybaa5,6,c1b,26,25,39,14
v9ypqsule6,6,c1a,26,31,42,24
vcc6zrw7fv,3,c3,26,20,37,11
vhtodljgzl,4,c2,35,NA,53,21
vhxl04j163,7,ab,32,27,47,10
vrhn157xmw,6,c1a,28,30,33,27
vswwrxttjf,5,c1b,35,14,45,38
vt2zoqcz82,7,ab,30,42,35,11
vte205pum8,6,c1b,NA,NA,NA,10
vvkndj1qbs,6,c1a,30,26,47,32
vvqcfzvud7,7,ab,34,17,45,14
vwahqa41n7,6,c1a,28,33,34,21
w1nv5915kv,7,ab,30,16,58,38
w42nf55f1b,6,c1a,34,19,48,25
w5xtzcugvx,6,c1a,35,41,42,24
w6yp7x898a,5,c1b,30,23,43,24
weet73evpb,4,c3,32,26,41,26
wf97lh7z68,5,c1a,21,21,52,27
wgy641oo43,5,c1a,37,35,45,15
wk96y1x8lq,5,c1a,36,10,47,26
wladwertxg,6,c1a,30,15,41,23
wlvl1wwfzc,3,c2,31,30,41,22
wn2unaotm3,99,NA,22,38,37,24
wphq2jrlzz,6,c1a,29,24,50,32
wqczg92ob1,5,c1b,31,8,42,19
wr64fsxv00,7,ab,30,24,41,24
wudken5v8o,6,c1a,39,15,35,13
wvnyykf2cl,7,ab,34,29,40,20
wvrpqja021,6,c1a,34,16,46,20
wwoetkbxr4,6,c1b,26,34,43,10
wwuhvoq50m,5,c1a,33,28,47,22
wz1x195jy9,6,c1a,34,25,47,21
x1vtyfksjc,7,ab,33,11,53,30
x2mu0d6mgm,7,ab,32,24,42,20
x476yjs4dy,3,c3,29,27,38,30
x6joffrlnf,1,e,35,15,48,20
x85ykvu95z,7,ab,33,19,45,27
x882ee4b3t,5,c1a,39,9,56,40
xbb93c2ekd,4,c1b,33,18,40,18
xbclzzeqjc,7,ab,38,19,49,39
xbgrhkg8jb,6,c1a,31,23,41,13
xd2cl5nyhr,7,ab,34,26,39,10
xd3dd3ss0k,7,ab,24,NA,NA,26
xgzevdqq5g,6,c1a,28,23,41,28
xjfzfat351,6,c1a,34,23,47,15
xmyhej8n4l,7,ab,36,15,58,25
xnm5usezy1,3,c2,32,24,41,36
xpp4er0ye3,5,c1a,32,30,39,14
xpqfbgzwym,7,ab,34,7,45,12
xujvbdjuuu,4,c1b,39,31,49,10
xv8m7ynspf,4,c1b,32,22,48,26
xvyzr2xn4t,1,e,22,29,40,10
xw1xcvvleb,6,c1a,33,33,42,10
xy715287yz,7,ab,27,32,41,23
y0ebes4v5h,6,c1a,33,20,42,39
y12mthwvll,7,ab,40,27,40,11
y2u2fhqmf8,99,NA,25,23,39,28
y8mxm88vpo,3,c3,28,33,51,10
y9ofaaacvm,5,c1a,29,31,36,29
y9qpvv536e,4,c3,40,16,56,22
y9rvszcysg,5,c1b,25,35,44,32
yaaav5ot57,4,c2,30,23,42,27
yfhgllffby,6,c1a,29,28,47,29
yg1f7tsc3b,7,c1a,23,32,32,22
yk7xo3lolq,1,c3,35,21,53,23
ylq3qd04cx,6,c1b,25,33,38,12
ymu2qajqad,7,ab,34,9,39,25
ynf4abyh7g,6,c1a,26,23,32,29
yp5pz8t1dn,3,c2,31,15,51,17
yp8ddx9u7n,7,ab,30,29,52,11
yqkrkcuoa7,5,c1a,33,25,43,14
ywn6pkn1vn,7,c1a,31,21,38,29
ywvnnobnwx,3,c2,25,17,39,35
yzn7d8gv4u,3,c3,20,41,30,21
yzoylz5n3o,4,c1b,38,34,42,10
z0284avu9b,6,c1a,34,36,52,25
z1qr7dmwgh,4,c2,NA,NA,NA,NA
z3be8mgu9g,6,c1a,36,36,39,20
z7c5bal8dz,4,c1b,30,20,48,20
zb9zx6xlab,4,c1b,39,20,54,27
zh5h6wy6df,6,c1a,NA,NA,NA,NA
zhnc2nw5um,4,c2,30,18,42,21
zhxz3u3zcx,5,c1a,31,NA,NA,13
zjpujewdo5,3,d,31,34,28,29
zm4ebxa32q,3,c3,29,33,32,27
znzkl87mb1,4,c2,35,20,52,10
zq41y689rv,6,c1b,30,27,48,29
zqr30zl2o9,6,c1b,30,26,40,26
ztruparwow,7,ab,36,15,54,15
zvt4ytryou,6,c1a,29,20,54,11
zw5u4phc4u,1,d,25,37,32,13
zwt5dpvex8,6,c1a,25,36,30,20
0f2kpao1rd,NA,NA,NA,NA,NA,NA
0lcktbc24w,NA,NA,NA,NA,NA,NA
1a78vulqe1,NA,NA,NA,NA,NA,NA
2om9hekosj,NA,NA,NA,NA,NA,NA
2pj6mky775,NA,NA,NA,NA,NA,NA
48wpp82aok,NA,NA,NA,NA,NA,NA
5zm1mtttk6,NA,NA,NA,NA,NA,NA
6u38ojnsrq,NA,NA,NA,NA,NA,NA
89qc5jsksp,NA,NA,NA,NA,NA,NA
90429647,NA,NA,NA,NA,NA,NA
90785335,NA,NA,NA,NA,NA,NA
920349145,NA,NA,NA,NA,NA,NA
950656229,NA,NA,NA,NA,NA,NA
952832366,NA,NA,NA,NA,NA,NA
959189066,NA,NA,NA,NA,NA,NA
962770710,NA,NA,NA,NA,NA,NA
965019769,NA,NA,NA,NA,NA,NA
966291863,NA,NA,NA,NA,NA,NA
974327562,NA,NA,NA,NA,NA,NA
985716722,NA,NA,NA,NA,NA,NA
9966885479,NA,NA,NA,NA,NA,NA
9nakruhcok,NA,NA,NA,NA,NA,NA
b7q8adzpxs,NA,NA,NA,NA,NA,NA
bdrxnbkmcm,NA,NA,NA,NA,NA,NA
bg2rozrnyk,NA,NA,NA,NA,NA,NA
bkj2ug4ds0,NA,NA,NA,NA,NA,NA
bp4pc9puhq,NA,NA,NA,NA,NA,NA
cdzrxtr79k,NA,NA,NA,NA,NA,NA
cmbac6j34l,NA,NA,NA,NA,NA,NA
ek1czk1376,NA,NA,NA,NA,NA,NA
far4pwpdfl,NA,NA,NA,NA,NA,NA
gjpw8z6z0z,NA,NA,NA,NA,NA,NA
hfrhc8qm4p,NA,NA,NA,NA,NA,NA
j7jofqk5o8,NA,NA,NA,NA,NA,NA
jm763apq4m,NA,NA,NA,NA,NA,NA
k5m5xqkp03,NA,NA,NA,NA,NA,NA
kvaqdow7cq,NA,NA,NA,NA,NA,NA
l9ahvnx8gr,NA,NA,NA,NA,NA,NA
lol9rn5dpv,NA,NA,NA,NA,NA,NA
m6lf5x1cuv,NA,NA,NA,NA,NA,NA
mz45bc7w3z,NA,NA,NA,NA,NA,NA
q7qk2lhwgr,NA,NA,NA,NA,NA,NA
v9v27k7yvs,NA,NA,NA,NA,NA,NA
vtrrtsn55b,NA,NA,NA,NA,NA,NA
w9nyh7jxtp,NA,NA,NA,NA,NA,NA
x8tge426s1,NA,NA,NA,NA,NA,NA
yxnynzjk6z,NA,NA,NA,NA,NA,NA
zp9mvv8pyg,NA,NA,NA,NA,NA,NA
